date,player,team,claim_type,direction,quote,source_file
2026-07-20,Collin Gillespie,PHX,depth,down,'was able to start a lot of games when Grayson/Booker/Green were out'; with the room healthy he's coming off the bench — the spot-start production won't repeat (thin mention; watch the Oct depth pass),2026-07-20-bounceback-candidates.md
2026-07-20,Bounceback quick-mentions,,hype,up,"end-of-show name-drops as possible bounce-back candidates ('maybe are able to have a bounce back') with NO mechanism given: Cam Thomas, Nick Richards, Darius Bazley + two garbled names ('BDNR', 'Nicolvich'/'Bald Bowl') left unresolved per the hard rule — deferred; revisit if a later episode adds detail",2026-07-20-bounceback-candidates.md
2026-07-22,Coby White,CHA,role,up,"starting PG 'can't be sat' (no backup PG); 'double his minutes to ~30'; absorbs LaMelo's creation, assists up 'to about average' [transcription 'Kobe White'; reinforces 07-20 +2.0]",2026-07-22-hornets-season-preview.md
2026-07-22,Kon Knueppel,CHA,usage,up,'Khan Caniple more so' - trusted SECONDARY creator ahead of Miller; focus scorer; good passer; inherits part of LaMelo's 30+ usage vacancy [transcription 'Canipple/Caniple' = Kon Knueppel],2026-07-22-hornets-season-preview.md
2026-07-22,Brandon Miller,CHA,usage,up,"focus scorer but creation load SHARED - Knueppel takes the secondary-creator role, not Miller; drive stalls, mid-range heavy [tempers the 06-29 usage story; hold +2.0]",2026-07-22-hornets-season-preview.md
2026-07-22,Naz Reid,CHA,role,up,starting 4 + some backup-5 (Naz/Musa lineups); 'fringe all-star in an increased role'; good passer; floor spacing/rebounding [transcription 'Nas Reed'; reinforces 07-13 +3.0],2026-07-22-hornets-season-preview.md
2026-07-22,Moussa Diabate,CHA,role,up,"projected STARTING C ('play your 28'); Hustle POY; steals possessions + OReb + switchable D; short-roll passing improving; short, not a shooter [transcription 'Musa Debbate/Diabate']",2026-07-22-hornets-season-preview.md
2026-07-22,Grayson Allen,CHA,role,flat,bench; secondary creator off the bench but outlier shot VOLUME normalizes down (efficiency up) [confirms 07-13 none],2026-07-22-hornets-season-preview.md
2026-07-22,Royce O'Neale,CHA,depth,flat,"bench 3&D, corner threes all season; low-usage spot-up [transcription 'Royce O'Neal']",2026-07-22-hornets-season-preview.md
2026-07-22,Ryan Kalkbrenner,CHA,depth,down,"'at the very end of the center rotation'; best rim protector of the bigs but buried behind Diabate, Naz-at-5, rookie Steinbach [transcription 'Cogbren/Kog Brener']",2026-07-22-hornets-season-preview.md
2026-07-22,Sion James,CHA,role,down,"'on-ball minutes have not gone well... a real concern, especially the non-Coby minutes'; deep in a wing group of 'real dudes one through eight'",2026-07-22-hornets-season-preview.md
2026-07-22,Hansen Steinbach,CHA,role,up,"#14 overall rookie C; best rebounder in college, OReb, 'can shoot it a little'; Musa/Steinbach 4-5 lineups; every-night backup-C candidate [ROOKIE - defer; transcription 'Hanesstein/Steinbach']",2026-07-22-hornets-season-preview.md
2026-07-22,Christian Anderson,CHA,depth,up,#18 overall rookie PG; the backup-PG hope but 'a fun archetype more than a functional one'; CHA lacks a trusted backup PG [ROOKIE - defer],2026-07-22-hornets-season-preview.md
2026-07-22,LaMelo Ball,CHA,transaction,down,traded to Minnesota; 30+ usage + elite playmaking vacated - the central redistribution of this roster [departed],2026-07-22-hornets-season-preview.md
2026-07-23,Trae Young,WAS,usage,up,"offensive engine, ball in hands most; NOT the 37-38 peak; assist% up (playmaker); '33 to 35' minutes [transcription 'Trey Young'; confirms 07-20 +4.5]",2026-07-23-wizards-season-preview.md
2026-07-23,Kyshawn George,WAS,role,up,org's favorite young player ('up there with Sarr'); won the starting 2 over Coulibaly; two-way; off-ball C&S next to Trae; ~30 mpg starter [transcription 'Keshan George'],2026-07-23-wizards-season-preview.md
2026-07-23,AJ Dybantsa,WAS,role,up,"#1 overall; centerpiece; ~28 min early ('maybe 28 not 34', carefully handled); rim+FTs (89% at rim SL), 3PT shaky (1-11); defensive stocks [ROOKIE - defer; transcription 'Debonsa/Debansa']",2026-07-23-wizards-season-preview.md
2026-07-23,Anthony Davis,WAS,role,flat,"starter but 'if he's on the floor'; offense scales down (lost the 3, rim-only) - reb/blk/rim-contest anchor rises; no hard minutes number [per-game ~ base]",2026-07-23-wizards-season-preview.md
2026-07-23,Anthony Davis,WAS,injury,down,heavy injury history - 'failed to play 5 games in a row' in Dallas; 33yo; GP is the real risk [AVAILABILITY -> config/overrides.yaml candidate for Steven],2026-07-23-wizards-season-preview.md
2026-07-23,Alex Sarr,WAS,role,up,entrenched starting C ~30 mpg; rim-focused shot diet FG 39->48; Trae gravity + Davis takes defensive pressure off; 'all-star level' [transcription 'Alex Sar'; supersede 07-17 +1.5],2026-07-23-wizards-season-preview.md
2026-07-23,Alex Sarr,WAS,injury,down,fractured foot recovering to start the season; seven-footer foot-injury caveat [AVAILABILITY -> config/overrides.yaml candidate],2026-07-23-wizards-season-preview.md
2026-07-23,Deandre Ayton,WAS,depth,down,backup C behind Sarr + Davis ('not going to start'); Davis-fragility gives injury-contingent upside [transcription 'DeAndre Aton'; confirms 07-17 -1.5],2026-07-23-wizards-season-preview.md
2026-07-23,Bilal Coulibaly,WAS,role,down,"lost the starting 2 to George; stagnated, 3PT 34->29; bench wing now; open looks w/ Trae but shooting is the swing; defense keeps him usable [transcription 'Bilal Kulibali']",2026-07-23-wizards-season-preview.md
2026-07-23,Tre Johnson,WAS,role,down,'best shooter on the team' but squeezed behind George/Dybantsa/Middleton; last year's sink-or-swim on-ball reps now Trae's [transcription 'Trey Johnson'; sophomore],2026-07-23-wizards-season-preview.md
2026-07-23,Bub Carrington,WAS,role,down,"last year's 'de facto point guard' role now Trae's; backup PG, minutes compressed [sophomore]",2026-07-23-wizards-season-preview.md
2026-07-23,Will Riley,WAS,role,down,'playing a million minutes' end of last (tank) season; now buried in the wing logjam [sophomore],2026-07-23-wizards-season-preview.md
2026-07-23,Khris Middleton,WAS,depth,flat,mentorship signing; fills behind Dybantsa; 'not sure how much he plays' [transcription 'Chris Middleton'],2026-07-23-wizards-season-preview.md
2026-07-23,Cam Whitmore,WAS,depth,flat,end-of-show 'rotation-caliber body' name-drop; no mechanism; deep in the wing logjam,2026-07-23-wizards-season-preview.md
2026-07-23,Justin Champagnie,WAS,depth,flat,"'value defensively crashing the offensive glass'; deep role [transcription 'Justin Champeni' = Justin (not Julian) Champagnie, WAS]",2026-07-23-wizards-season-preview.md
2026-07-23,Felix Okpara,WAS,depth,up,"2026 draft pick, no role detail [ROOKIE - defer; transcription 'Felix Okara']",2026-07-23-wizards-season-preview.md
2026-07-23,Washington Wizards (team),WAS,availability,up,tanking/fake-injury/load-management era over - 'not going to sit out 75% of games in March'; team-wide GP/minute-stability uplift [TEAM-LEVEL -> config/overrides.yaml consideration for Steven],2026-07-23-wizards-season-preview.md
2026-07-15,(episode review - no player facts),,rank,na,"Statistical-correlations METHODOLOGY episode (9-cat/roto/H2H-categories + turnover strategy) - NOT our points league; nothing transfers per the different-league hard rule. No player-specific role/minutes/usage/depth/injury facts. Only points-league nugget: fpts~USAGE R=0.826 > fpts~MINUTES (2nd) - 'minutes + usage gets you 80% there', CONFIRMS our standing minutes/usage priority rule. Player mentions (Vucevic, LaMelo, Luka, Mark Williams, Jalen Duren) are category stat-profile illustrations, not role facts. This is the re-dropped 07-15 (previously a dup-paste of 07-14).",2026-07-15-statistical-correlations.md
2026-07-27,Oklahoma City Thunder (team),OKC,depth,down,"ROSTER PURGE for luxury-tax reasons ($240M bill sliced to $20M): Lu Dort, Isaiah Joe, Aaron Wiggins, Branden Carlson all gone for no returning salary - 'a starter and a fill-in starter and another fill-in starter'. Replaced with rookies/two-ways only (Bennett Stirtz, Aday Mara, Josh Dix) plus returning Nikola Topic + Thomas Sorber. Vacates 64.1 mpg and 23.0% of team possessions [computed]. 'Replacing known regular season impactful players with unknown' - 'the Thunder will take a step back in win total'",2026-07-27-thunder-season-preview.md
2026-07-27,Oklahoma City Thunder (team),OKC,depth,flat,"Win prediction 62 (range 57-62), down from 68 at peak; still 1-seed contender with SAS. Regular-season rotation stays ~10 deep (playoffs shrink to 8-9). NB no minutes or usage numbers stated for any player in this episode - Josh: 'we do a team-based fantasy preview in September when we've got ADP data, projections... go through every player individually' [SCENE-SETTING EPISODE, not the fantasy preview]",2026-07-27-thunder-season-preview.md
2026-07-27,Shai Gilgeous-Alexander,OKC,usage,flat,"Back-to-back MVP; no role change discussed ('we didn't need to discuss Shai... very much'). Low 3PA volume flagged: among OKC's bottom six in 3PT attempt rate along with Hartenstein, Jalen Williams, Ajay Mitchell, Chet, Topic - 'they just don't take any threes'. But BBM hedges the fix for Shai specifically: 'an efficient shot for him could be a contested mid-range elbow jumper because he's so elite at it' [transcription 'Shay/Sheay/Shay Good Shay Good Alexander']",2026-07-27-thunder-season-preview.md
2026-07-27,Jalen Williams,OKC,injury,up,"Only 40 games last season - 'it was probably 20 full speed games' (wrist injury + two hamstrings); 'a bit premature to label JDub as injury-prone' but must prove it; 'if we get 65 games out of Jalen Williams that's a different story'. GP/availability item, not a per-game rate claim [transcription 'JDub/Jaylen Williams']",2026-07-27-thunder-season-preview.md
2026-07-27,Jalen Williams,OKC,usage,up,"Part of Presti's 'reimagining': 'JDub, you're healthy, your wrist is back... tonight you're shooting seven threes and just living with the results' - a 3PA-volume mandate off a 17.3% 3PA rate. BBM attaches an explicit efficiency hedge: 'that might cost you because you could do your bread and butter'. No minutes or usage number stated",2026-07-27-thunder-season-preview.md
2026-07-27,Chet Holmgren,OKC,hype,up,"Poor Game 7 / poor SAS series ('repeatedly busted'); BBM expects a POSITIVE rebound - 'hardest worker, basketball junkie', Daigneault 'there's no one that he trusts more to improve over the summertime', 'not even in their primes yet', 'second best rim protector in the entire NBA'. Generic growth conviction - no minutes, usage or shot-diet number stated [transcription 'Chad Hongren/Homegrren/Ched/Jet']",2026-07-27-thunder-season-preview.md
2026-07-27,Cason Wallace,OKC,role,up,"Locked into the STARTING five in the vacated Lu Dort spot (had started a bunch already). 'His role will stay the same as being someone who stays in a 3-and-D box and maybe explores more off the catch and becomes a secondary playmaker'; 'Cason will get a larger role'; 'in his bench minutes they will let him explore what he can do on the ball more'; contract-year motivation (final rookie-deal year, RFA, 'wants a bigger role'). COUNTER-EVIDENCE from BBM himself: given the same lead-guard chance in the playoffs he 'did not do much with the ball in his hands'. No minutes or usage number stated [transcription 'Kase Wallace']",2026-07-27-thunder-season-preview.md
2026-07-27,Ajay Mitchell,OKC,usage,flat,"Started 16, benched 41; 42% 3PT as a starter vs 32% off the bench (38% as a rookie, under 35% overall); 54% on twos 'went down and down as the season went on'; 'he did lose quite a bit of efficiency and he lost a lot of usage as the season went on'. BBM's mechanism is shot QUALITY not volume: 'his shooting looks better alongside the starters [because] the shots he's funneled are generated by Shai'; 'this should be a year where he is sharing the floor more with those top guys and naturally be putting in a position to be more efficient' - i.e. MORE efficiency but LESS on-ball usage. Best lineup 'SGA, JDub and AJ Mitchell'. No minutes or usage number stated [transcription 'AJ Mitchell']",2026-07-27-thunder-season-preview.md
2026-07-27,Ajay Mitchell,OKC,injury,down,"'AJ Mitchell has had two NBA seasons. He's not had a healthy one yet'; 'everybody understands how good AJ Mitchell is and their only reservation is will he be healthy or not'. No timeline - GP/availability watch item, not analyst-layer material",2026-07-27-thunder-season-preview.md
2026-07-27,Jared McCain,OKC,role,up,"BBM's pick for 'more value internally than externally'. Org believes in on-ball rim ability ('he got to the rim, he just didn't finish very well'), first healthy NBA offseason, role/rotation clarity after the midseason PHI->OKC move, and the team's defensive structure hides him ('sharing the floor with at least two elite defenders... you can't just pick on him defensively') - 'that keeps him on the floor in higher-leverage spots, elevates his role a little bit more than even people who support him might think'. Also named with rookie Stirtz as the only players who 'can get hot from beyond the arc' now Isaiah Joe is gone. COUNTER: Josh is 'a certified Jared McCain skeptic' - 'games he disappears in and has zero points in 10 minutes and is unplayable'; on ESPN starting-lineup graphics 'there's literally no chance that's going to be the way they go about it'. No minutes or usage number stated",2026-07-27-thunder-season-preview.md
2026-07-27,Alex Caruso,OKC,role,up,"With Dort gone, named as one of only TWO players who can 'scale up and defend bigger bodies' (with Jalen Williams) - 'past that, who can take on the bigger forwards in the NBA?'. Role-security/minutes-support argument; no minutes or usage number stated",2026-07-27-thunder-season-preview.md
2026-07-27,Isaiah Hartenstein,OKC,depth,flat,"Backup-C vacancy (Branden Carlson gone, 11.6 mpg) goes to two unready rookies: BBM says Hartenstein 'is more athletic than Sorber, he's more athletic than Mara is - he can get out on an island in a pinch, he could just hold up a little bit better than those two guys'. Also among OKC's bottom-six 3PA rate (2.4% of his FGA). No minutes or usage number stated",2026-07-27-thunder-season-preview.md
2026-07-27,Nikola Topic,OKC,injury,down,"Cancer treatment last season, PLUS back surgery, PLUS a torn ACL before that - 'hopefully speaking will be his first healthy season in the NBA'; extension eligible after this season. Now also crowded at his own position by 1st-rounder Bennett Stirtz. NO CONCRETE TIMELINE given - availability watch item for config/overrides.yaml if one appears, not analyst-layer material [transcription 'Nicole Topic/Topish']",2026-07-27-thunder-season-preview.md
2026-07-27,Thomas Sorber,OKC,injury,down,"'Coming off of a major lower leg injury, a torn ACL, after having lower leg injuries at Georgetown'; also 'the foot surgery into the torn ACL'. Team views him as a 4/5 who gives optionality but 'that's not a guarantee whatsoever' and 'whenever you're talking about bigs who have constantly had lower body injuries, historically speaking, those don't just up and go away'. ROOKIE - not on the learned board; defer to the Oct sheet [transcription 'Thomas Sorba/sober/soarez']",2026-07-27-thunder-season-preview.md
2026-07-27,Bennett Stirtz,OKC,role,up,"1st-round rookie PG; 'a great three-point shooter... the team feels really confident that he can play off of the ball'; can attack a closeout to the mid-range or the rim; point-guard background as a playmaker. Named as the possible replacement for Isaiah Joe's shooting - 'can he provide the shooting that Isaiah Joe did in the regular season? Maybe, but probably maybe not as a rookie'. ROOKIE - not on the learned board; defer to the Oct sheet [transcription 'Bennett Sts/Stsara/Sturz/Stirts']",2026-07-27-thunder-season-preview.md
2026-07-27,Aday Mara,OKC,role,down,"1st-round rookie C; 'struggled in summer league'; 'it's going to take some time for him to change his body and to be ready to play at the NBA level'; 'he's just so one-dimensional... a drop-exclusive big that I don't think really ever projects to be a switchable big defensively, which is not how they've evaluated talent in the past'; playmaking fits OKC but 'he doesn't right now have that go-to offensive move'. ROOKIE - not on the learned board; defer to the Oct sheet [transcription 'Adai Mora/Dimara/Mara']",2026-07-27-thunder-season-preview.md
2026-07-27,Luguentz Dort,OKC,depth,down,"TRADED OUT of OKC for luxury-tax savings (destination NOT stated in this episode - it is the current Locked On Thunder topic). BBM calls him the hardest of the three departures to replace: 'you just don't have any wings on this roster... he was really good at scaling up and defending bigger bodies... could switch on to a LeBron James, a PJ Washington or an Aaron Gordon'. [DATA ITEM for Steven: transactions cache stops 2026-07-13, so preseason_roster_map still maps Dort to OKC at 24.6 model mpg; Joe/Wiggins/Carlson ARE already reflected]",2026-07-27-thunder-season-preview.md
2026-07-28,Dereck Lively II,DAL,injury,down,"'Derrick Lively as of July 22nd is not running or jumping or doing any of that stuff yet'; 'less than 10% chance he's ready opening night' (both hosts independently); 'it's a foot injury for a big, which is kind of a big deal... he's had a lot of lower body injuries'; 7 gp last season, 55 as a rookie and 'it's gone down ever since'. AVAILABILITY -> config/overrides.yaml candidate for Steven, NOT analyst-layer material. [transcription 'Derrick/Derek Lively']",2026-07-28-mavericks-season-preview.md
2026-07-28,Kyrie Irving,DAL,injury,down,'34 off an ACL'; 'Kyrie is not going to play back to back especially early on. Like what do they do? Who do they position to that spot?'; win prediction is conditioned on 'assuming a healthy Kyrie Irving'. No trade expected ('more valuable to the Mavericks with what he brings both on the court and off'). AVAILABILITY -> config/overrides.yaml candidate for Steven. [DATA FLAG: absent from preseason_roster_map - 0 gp in 2025-26 leaves him with no prior-season primary team],2026-07-28-mavericks-season-preview.md
2026-07-28,Cooper Flagg,DAL,usage,flat,Rookie of the year; 'they did force feed him quite a bit of usage down the stretch'. Two-sided for 2026-27: Kyrie back as 'a pressure release valve... he doesn't have to run 38 usage and have everyone focus in on him' (usage DOWN) vs 'Dusty May has already said that he's going to take more threes' off a .295 3PT on 3.49 3PA (volume UP at a bad rate). No minutes or usage number stated. Also 'I tend to think that Cooper Flagg is better as a four',2026-07-28-mavericks-season-preview.md
2026-07-28,Max Christie,DAL,hype,up,"'Dusty May specifically said Max Christie is going to have a breakout year this season'; 'he's almost certainly going to start. I don't see any other direction for them to go there'. Josh's counter is long and specific: 'he seemed to lack an ability to scale up when necessary'; 'his defensive playmaking not very good... he doesn't generate turnovers. He never passes... not a strong crash the glass guy. He's not a big self-created player'. Coach-hype, no mechanism, no number",2026-07-28-mavericks-season-preview.md
2026-07-28,Morez Johnson Jr.,DAL,role,up,"Top-10 pick; guest's projected DAY-ONE STARTER at the 5 ('M Johnson is starting day one'), contingent on Lively out and Gafford traded. 'A 6'9 undersized center', 'same size as Al Horford and Bam Adebayo'; strength is 'motor... a floor raiser'; played under Dusty May at Michigan but says 'I'm not expecting like a bunch of minutes just because he was my coach'. Shooting fit a concern, though 'better shooter than Derrick Lively'. ROOKIE - not on the learned board; defer to the Oct sheet [transcription 'MZ/Miz/Merez/Morz Johnson']",2026-07-28-mavericks-season-preview.md
2026-07-28,Daniel Gafford,DAL,transaction,down,"'I would guess not' on being on the roster opening night - 'three iterations of front offices have tried to trade Gafford'. If he stays he starts at C while Lively is out. Last season 'every game last year was a disaster for him... his finishing numbers dropped, his rim protection numbers, everything fell away' from an 'extreme amount of ankle problems'. Destination unknown -> no team to size a role against",2026-07-28-mavericks-season-preview.md
2026-07-28,Moussa Cisse,DAL,depth,up,"'They also kept Musa Cisse too, who is also just like breathing down Daniel Gafford's neck because he does everything that Daniel Gafford does and is way more athletic at this point in his career. Like he just jumps out of the gym.' No minutes number [transcription 'Musa Cisce']",2026-07-28-mavericks-season-preview.md
2026-07-28,Caleb Martin,DAL,depth,down,"'Right now, I think Caleb Martin is probably the best perimeter defender on the Dallas Mavericks, like best point of attack defender. And I don't think he factors in all the minutes we've already talked about with those guys either' - an explicit exclusion from the projected rotation, but no number and no stated rotation size to allocate from",2026-07-28-mavericks-season-preview.md
2026-07-28,Klay Thompson,DAL,transaction,down,"Grouped with Gafford as the expected outgoing salary - 'we're waiting on Klay Thompson and Daniel Gafford and maybe some of those, maybe a PJ Washington'; 'The Mavs have some one more move in them somewhere. Is it Gafford? Is it Klay? Is it both of them?'",2026-07-28-mavericks-season-preview.md
2026-07-28,P.J. Washington,DAL,role,flat,"Guest's projected starting PF (Kyrie / Christie / Flagg / PJ Washington / Morez Johnson). Also named as trade-rumour salary and as a shooting worry: 'PJ Washington has been up and down, has been down lately' (.325 3PT last season). No minutes or usage number",2026-07-28-mavericks-season-preview.md
2026-07-28,Naji Marshall,DAL,depth,down,"Named among the 'big herd of wings' competing for a compressed number of minutes and among the shooting worries ('really the only players that you're worried about their shooting are like Naji, PJ Washington... and then obviously the center'). No number; model already fades him 29.5 -> 26.0 mpg",2026-07-28-mavericks-season-preview.md
2026-07-28,Zaccharie Risacher,DAL,role,up,Arrived from ATL in the Dort/Nembhard trade. 'They looked at Risacher as a guy that could come in and be an undervalued asset with the Hawks... maybe he flourishes in our system where he couldn't in Atlanta'; guest floats starting him at C over Gafford ('Dusty May is his coach. I think they drafted - they traded for Risacher for a reason'). Counted among the added shooting. No number [transcription 'Reese/Rez/Arisa Shay/Zachary Rishet'],2026-07-28-mavericks-season-preview.md
2026-07-28,Santi Aldama,DAL,depth,flat,"New arrival; 'where does he play like on this team... it's just where does it all fit together'; positionally 'a four or a five, but he steps out and takes a three, so he can space the floor'. Counted among the added shooting. No number [transcription 'Santiel Dharma/Santi Alama']",2026-07-28-mavericks-season-preview.md
2026-07-28,Marcus Sasser,DAL,role,up,"'Marcus Sasser, I expect is a guy to come over and maybe play a bigger role. Like what's the point of going and getting him if you don't give him a chance to try and take another step?' Immediately undercut: '6'1 Marcus Sasser who I'm not - I just don't think is good'; the guards behind Kyrie are 'a 20-year-old rookie... and like 6'1 Marcus Sasser'. No number [transcription 'Marcus Sassa/Dasser']",2026-07-28-mavericks-season-preview.md
2026-07-28,Sergio de Larrea,DAL,role,up,First-round rookie guard; 'we expect him to play some minutes. But he's a guy that he's 20. He could come over and not be super ready right away. Looked good in summer league but didn't really get his own shot a ton'; 'averaged almost eight assists per game in summer league'; a candidate to start on Kyrie's back-to-back rest nights. ROOKIE - not on the learned board; defer to the Oct sheet [transcription 'Sergio Derea/De La Rea/Delorea'],2026-07-28-mavericks-season-preview.md
2026-07-28,Tarik Biberovic,DAL,role,flat,"New arrival counted among the added shooting / 'play finishers'; 'Toby Lal in the second round, Tarik Biberovic who he's an interesting player'; grouped with the guys who 'maybe they're threes, but they can do the same things as twos'. ROOKIE/first-year - not on the learned board; defer [transcription 'Tekk Beberovic/Bearovic/Vberovic']",2026-07-28-mavericks-season-preview.md
2026-07-28,DAL team,DAL,other,flat,"TEAM CONTEXT, not sizable here: 'this is a rebuild on the fly'; 'a fact-finding mission season'; win prediction 41 (up from 26, but 'a 26 win team's probably a 32-win team' under the new lottery-reform baseline). ROSTER IS NOT FINAL - 16 under contract with cuts required, Gafford and Klay expected to move, 'the Mavs have one more move in them somewhere'. Guest on the rotation: 'no coach plays 12 players, let alone like 15. There's no way that all these guys get minutes... I'm fascinated to see how this plays out'. Josh: 'all that will be covered when we do the Dallas Mavericks again in September when everything is settled and finalized' -> NO rotation depth stated, so no 240 allocation (see ledger)",2026-07-28-mavericks-season-preview.md
2026-07-31,Mitchell Robinson,BOS,role,up,"STATED MINUTES. Josh: 'is that a okay here is 24 minutes a piece? Do they push Robinson further than that? Does Robinson play 20 minutes and start games and close games and Queta takes the other bulk minutes?' Guest: 'I do think that it's going to be basically mid 20 minutes for one guy, mid 20 minutes for the other guy. And so I don't really think it matters. They'll probably close with Queta.' Guest's projected STARTER at C - 'the number one reason why I'm saying start Mitchell Robinson is because there are no team fouls at the beginning of a game and you can't play the hack at the beginning of a game'. Signed from NYK 07-06 (3yr/$47.4M). Model base 19.0 mpg",2026-07-31-celtics-season-preview.md
2026-07-31,Neemias Queta,BOS,role,up,"STATED MINUTES - the other half of the 'mid 20 minutes' center split; 'they'll probably close with Queta'; guest's own hedge on his starting-five pick: 'if I'm being honest, I do think that Queta will probably start just because I think Joe Mazzulla is going to want to keep that and reward him'. Just signed an extension ('under contract for this season and four more', ~$14-15M) so a bench role carries no contract friction. Rate context, explicitly hedged to nothing: 'has been working on a little bit more of at least a mid-range jumper... a nice little floater in that 10-ft area... I wouldn't be shocked if you see a couple of jumpers. Not nothing you can rely on'. Model base 22.8 mpg [transcription 'Nemesada/Namish Kada/Nomesh Kedar']",2026-07-31-celtics-season-preview.md
2026-07-31,Payton Pritchard,BOS,usage,down,The chapter that demolishes the 'Pritchard is the next Brunson' story. Josh: 'he's not going to be a starter playing 35 minutes a night. He's not on a new team'; 'the whole usage calculation is actually more crowded because you've got Tatum and George versus Brown that was in that spot'; 'there's fewer opportunities and he's probably going to play fewer minutes'; 'I would expect somewhat of a ramp backwards'. Guest: 'He is going to be 29. He kind of is who he is... I think he has basically peaked'; 'he's amazing in a six-man role'. USAGE FACT verified against our cache: 'he had a 21 usage in 32 minutes as a starter' vs computed 21.4 USG% at 32.3 mpg. No forward number stated. Model base 28.1 mpg (already -4.2 vs actual),2026-07-31-celtics-season-preview.md
2026-07-31,Derrick White,BOS,role,up,"Guest's pick for the player who determines the team's ceiling. 'His offense last year really did dip. There's no sugar coating that. His shooting percentages were horrible' (3PT .327 vs .384/.396 the two prior years, on 8.31 3PA). Mechanism for the rebound: 'He plays better next to Jason Tatum. Statistically over the years, he has played better next to Tatum'; 'maybe a little bit more catch and shoot opportunities next to Jason who's a little bit more of a willing passer than Jaylen was'; 'with Paul George there... there's still at least some of that pressure taking off... he will have more catch and shoot opportunities'; 'He's definitely a confidence shooter'. Josh: 'every impact stat says this is a top 20 player'. NO minutes number stated in either direction",2026-07-31-celtics-season-preview.md
2026-07-31,Jayson Tatum,BOS,injury,up,"'I have zero worries about Jason Tatum coming into this season.' The game-7 absence explained as knee inflammation from overloading the good leg, 'nothing that required any sort of surgery... nothing that seems to be any kind of chronic'; he 'said after the season he was playing at about 80 or 85%'. Key mechanism is the OFFSEASON: after the Achilles he 'never had the off season... he just went right into rehab', whereas now 'you get June July August September to get back to your normal self... my expectation is he comes in to next season without any hint of any prior injury'. This is an AVAILABILITY/health claim (gp), not a per-game rate or minutes claim - no number of either kind stated",2026-07-31-celtics-season-preview.md
2026-07-31,Paul George,BOS,injury,down,"'I know for maybe half the season, Paul George won't play'; 'Paul George isn't going to play back to backs... it's going to be a little bit of kind of flux here and there with some of the lineups. So maybe that leads to a couple of losses.' Also 'Paul George is here now, but he probably won't be here for long. This might be his only season.' Arrived in the Jaylen Brown trade. AVAILABILITY -> config/overrides.yaml candidate for Steven (model gp base 53); 'half the season' would be ~41",2026-07-31-celtics-season-preview.md
2026-07-31,Sam Hauser,BOS,role,up,"Guest's projected starting SF/SG over Pritchard, Scheierman and Gonzalez: 'I went with Hauser because he's a little bit more established. He has the reputation as a shooter, 40% shooter'; the starting-lineup logic is that 'you kind of need a guy to be there as a happy catch and shoot guy... he's not going to try to do too much in a starting lineup with Derrick White and Jason Tatum and even Paul George'. Named as one of the 'four shooters' around Robinson in the dunker spot. No minutes number; model base 22.7 vs 24.8 actual",2026-07-31-celtics-season-preview.md
2026-07-31,Baylor Scheierman,BOS,depth,flat,"Bench secondary ball-handler behind Pritchard ('off the bench I just like the Pritchard ball handler, Scheierman secondary ball handler or Gonzalez secondary ball handler'). 'Baylor Scheierman took a big step forward'; 'if Scheierman and Gonzalez, or Jordan Walsh, if two of those guys can have double digit seasons, this offense is going to be like, wow'. He started 'big chunks of those games' last season only because Tatum was out - that opening is gone. No number [transcription 'Baylor Shyman']",2026-07-31-celtics-season-preview.md
2026-07-31,Hugo Gonzalez,BOS,depth,flat,"Bench wing / alternate secondary ball-handler; 'we didn't know what Hugo Gonzalez was' last season, now comes in 'with a little bit more definition to their games and roles'; one of the three named as potential 'double digit' scorers. Rotated into starts last season during the Tatum absence. No number [transcription 'Ugo Gonzalez']",2026-07-31-celtics-season-preview.md
2026-07-31,Jordan Walsh,BOS,depth,flat,'Jordan Walsh took at least a decent step forward'; grouped with Scheierman and Gonzalez as the bench pieces who could reach 'double digit seasons'. Not in the projected starting five and not named in the bench ball-handler order. No number,2026-07-31-celtics-season-preview.md
2026-07-31,Luka Garza,BOS,depth,down,"'They'll have some five out because Luka Garza is still going to be your third string center' - explicitly third behind the Robinson/Queta mid-20s split, on a roster whose center rotation last season was 'on paper maybe one of the worst in the NBA' (which is why he played 16.2 mpg). No number [transcription 'Luca Gaza/Garza']",2026-07-31-celtics-season-preview.md
2026-07-31,Mike Conley,BOS,depth,down,"Signed as 'veteran point guard help', but explicitly not trusted with the ball: the reason Pritchard must come off the bench is 'those are your two ball handlers and I'm not going to put too much on Mike Conley. You need one ball handler to start, one to come off the bench.' Age 39. No number; model base 18.9 mpg vs 18.4 actual - essentially no aging fade",2026-07-31-celtics-season-preview.md
2026-07-31,Chris Cenac Jr.,BOS,role,flat,"2026 first-round pick (#27 overall), signed 07-05. Named only in the arrivals list and handed off to the team podcast ('You'll go deep into Baylor Scheierman and Hugo Gonzalez and Chris Cenac'). ROOKIE - not on the learned board; defer to the Oct sheet [transcription 'Chris Senak Jr.']",2026-07-31-celtics-season-preview.md
2026-07-31,Jaylen Brown,BOS,transaction,down,"DEPARTED - traded for Paul George. 'Jaylen Brown for Paul George is not exactly the move you'd think would make the team better, but I think there's a longer term plan'; 'it is a downgrade from Jaylen Brown. I don't think there's a debate about that'. His ~34 mpg and the primary-option usage are the vacancy this preview redistributes",2026-07-31-celtics-season-preview.md
